,database,query,num_topics,qry_topics,num_documents,rand_seed,coherence,ext_query_size,num_relevant,f_distance,top_10_true,top_20_true
306,Wahono,defect_predict,70,2,7002,534,0.3925302733929059,703,62,16,0,1
307,Wahono,defect_predict,80,2,7002,534,0.38115216859799317,506,62,8,1,1
308,Wahono,defect_predict,90,1,7002,534,0.3748183798621481,522,62,1,2,3
309,Wahono,defect_predict,100,1,7002,534,0.3726702772537195,381,62,6,1,3
310,Wahono,defect_predict,110,1,7002,534,0.3625813955972164,485,62,4,1,2
311,Wahono,defect_predict,120,2,7002,534,0.3568746262510175,518,62,2,3,4
312,Wahono,defect_predict,130,2,7002,534,0.3594160371848718,486,62,2,2,4
313,Wahono,defect_predict,140,3,7002,534,0.3505751638667708,451,62,12,0,1
314,Wahono,defect_predict,150,2,7002,534,0.34576156700146676,352,62,11,0,1
315,Wahono,defect_predict,160,1,7002,534,0.35275914054592133,423,62,2,2,8
316,Wahono,defect_predict,170,2,7002,534,0.3570045546058911,338,62,24,0,0
317,Wahono,defect_predict,180,2,7002,534,0.35250621544270916,406,62,1,5,10
318,Wahono,defect_predict,190,1,7002,534,0.34275282494733517,291,62,1,2,3
319,Wahono,defect_predict,200,2,7002,534,0.3476138652051074,412,62,2,3,7
320,Wahono,defect_predict,10,1,7002,424,0.47019415001606013,1059,62,21,0,0
321,Wahono,defect_predict,20,1,7002,424,0.46398790980985416,799,62,8,1,4
